FOODID;FOODNAME;LANG
938;LÄSKEDRYCK, DELVIS SYNTETISKT SÖTAD;SV
939;CIDER, SÖT, 4,7 VOL-% ALKOHOL;SV
940;ÖL, STARKT, 7,5- 8 VOL-% ALKOHOL;SV
941;LÄSKEDRYCK, COLADRYCK LIGHT, DELVIS SYNTETISKT SÖTAD;SV
942;GRÄDDLIKÖR, 15-17 VOL-% ALKOHOL;SV
943;CAMPARI MED JUICE, BITTERDRINK;SV
944;IRISH COFFEE KAFFEDRYCK, 8 VOL-% ALKOHOL;SV
945;VINGLÖGG;SV
946;STÄRKELSESIRAP, GLUKOSSIRAP;SV
947;ALKOHOLDRYCK, TOMATJUICE MED VODKA, BLOODY MARY;SV
948;ROM-COLADRYCK;SV
949;SCREWDRIVER, JUICEVODKA;SV
950;GIN TONIC, 4 VOL-% ALKOHOL;SV
951;TOM COLLINS GINDRINK;SV
952;ALKOHOLDRYCK, GINDRINK, DRY MARTINI;SV
953;ÄGGTODDY;SV
1000;RÅGVÄLLING, VATTEN, RÅGMJÖL, SALT;SV
1001;RÅGVÄLLING, SAFT, RÅGMJÖL, SALT;SV
1002;RÅGGRÖT, VATTEN, RÅGMJÖL, SALT;SV
1003;RÅGGRÖT, MJÖLK, RÅGMJÖL, SALT;SV
1005;RÅG-POTATISGRÖT, VATTEN, SALT;SV
1006;RÅG-BÄRGRÖT;SV
1007;RÅGGRÖT, RÅGMJÖL, LINGON, UTAN SOCKER, SALT;SV
1009;RÅGBRÖD, TRADITIONELLT, VATTEN, RÅGMJÖL;SV
1011;BLANDBRÖD, SÖTSURT BRÖD, SURMJÖLK, VETE-, RÅGMJÖL;SV
1013;KARELSK PIROG, TRADITIONELL, PENSLAD, RIS, RÅGVETESKAL;SV
1014;POTATISPIROG, RÅGSKAL;SV
1015;BÄRPIROG MED RÅG, MOSADE BÄR, RÅGSKAL;SV
1017;FLOTTYRKOKT PIROG, RIS, ÄGG, RÅGSKAL;SV
1022;BRÖDGRÖT, VATTEN, LINGON, MANNAGRYN, RÅGBRÖD, SOCKER, SALT;SV
1023;MEMMA;SV
1025;RÅGFLINGSVÄLLING, MJÖLK, SALT;SV
1026;RÅGFLINGSGRÖT, VATTEN, SALT;SV
1027;RÅGFLINGSGRÖT, MJÖLK, SALT;SV
1028;FYRKORNSVÄLLING, MJÖLK, SALT;SV
1030;FYRKORNSGRÖT, MJÖLK, SALT;SV
1031;VETETORTILLA, BURRITO, WRAP, GRÖNSAKSFYLLNING;SV
1032;KRUSKAGRÖT, VATTEN, RUSSIN, SALT;SV
1033;VETETORTILLA, BURRITO, WRAP, KÖTTFÄRSFYLLNING;SV
1035;VETETORTILLA, BURRITO, WRAP, KYCKLINGFYLLNING;SV
1036;RÅGBRÖD, RÅG 51 %;SV
1056;LJUST BRÖD, PITABRÖD;SV
1100;VETEVÄLLING, MJÖLK, VETEMJÖL, SOCKER, SALT;SV
1101;ÄGGVÄLLING, MJÖLK, SOCKER, SALT;SV
1104;VETEMJÖLSGRÖT, LÄTTMJÖLK, SOCKER, SALT;SV
1107;LJUST BRÖD, FRANSKBRÖD, LÄTTMJÖLK, VETEMJÖL;SV
1108;LJUST BRÖD, VETESEMLA, LÄTTMJÖLK;SV
1111;BLANDBRÖD, RIESKA, LÄTTMJÖLK, VETE-, RÅGMJÖL;SV
