FOODID;FOODNAME;LANG
730;LAMPAANLIHA, VÄHÄRASVAINEN;FI
731;LAMPAANLIHA, RASVAINEN;FI
732;LAMPAANPAISTI;FI
734;PORONLIHA;FI
735;HIRVENLIHA, HIRVI;FI
736;JÄNIS;FI
737;KANI;FI
741;LIHASÄILYKE, NAUDANLIHA;FI
743;LIHASÄILYKE, SIKA-NAUTA;FI
747;LIHAHYYTELÖ, TEOLLINEN, NAUDANLIHASTA;FI
748;SIANPAISTI, VÄHÄRASVAINEN;FI
750;KANA;FI
751;BROILERI, KOKONAINEN, NAHKOINEEN, RAAKA;FI
752;KALKKUNA NAHKOINEEN;FI
753;METSÄLINTU;FI
754;BROILERISUIKALE;FI
775;KOKOLIHALEIKKELE, SAUNAPALVIKINKKU, RASVAA 6 %;FI
776;KOKOLIHALEIKKELE, NAUDANLIHALEIKKELE, RASVAA 2,8 %;FI
779;KOKOLIHALEIKKELE, KEITTOKINKKU, RASVAA 3 %;FI
786;MAKSA, NAUDAN;FI
787;MAKSA, SIAN;FI
788;MAKSA, BROILERIN;FI
789;MAKSA, PORON;FI
790;MAKSA, KESKIARVO;FI
791;MUNUAINEN;FI
792;SYDÄN, NAUDAN;FI
793;KIELI, NAUDAN;FI
794;VERI;FI
797;KOKOLIHALEIKKELE, POROLEIKKELE, KYLMÄSAVUSTETTU;FI
799;KOKOLIHALEIKKELE, KINKKULEIKKELE, VÄHÄRASVAINEN, RASVAA 3 %;FI
800;SILAKKA, TUORE, ITÄMERI;FI
801;SILAKKA, SUOLATTU, ITÄMERI;FI
802;SILAKKA, SAVUSTETTU, ITÄMERI;FI
803;SILLI, TYNNYRIIN SUOLATTU;FI
804;TURSKA;FI
805;KUHA;FI
806;PUNA-AHVEN, SAVUSTETTU;FI
807;SINIPALLAS, SAVUSTETTU;FI
809;MUIKKU, JÄRVI;FI
810;MUIKKU, JÄRVI, SUOLATTU;FI
811;MUIKKU, JÄRVI, SAVUSTETTU;FI
812;AHVEN;FI
813;HAUKI;FI
814;LAHNA;FI
815;SIIKA;FI
816;SIIKA, SAVUSTETTU;FI
817;LOHI, KOKONAINEN;FI
818;LOHI, TUORESUOLATTU;FI
819;MADE;FI
820;KAMPELA;FI
821;ANKERIAS;FI
822;KIRJOLOHI, KOKONAINEN, KESKIARVO;FI
823;TAIMEN;FI
824;KALA, KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI;FI
825;NAHKIAINEN, SAVUSTETTU;FI
826;SEITI, PAKASTE;FI
828;TONNIKALA, ÖLJYSSÄ, SÄILYKE;FI
829;ANJOVIS;FI
830;LOHI, ÖLJYSSÄ;FI
831;SARDIINI, KESKIARVO, ÖLJYSSÄ JA TOMAATTIKASTIKKEESSA;FI
832;KAVIAARI, SAMMEN MÄTI;FI
833;MÄTITAHNA;FI
834;SINISIMPUKKA, VEDESSÄ, SÄILYKE;FI
835;KATKARAPU;FI
836;RAPU;FI
837;SILLI, MAUSTE/SUOLASILLI, KESKIARVO;FI
838;SILAKKA, MAUSTE/SUOLASILAKKA, KESKIARVO;FI
844;LAHNA, SAVUSTETTU;FI
845;SÄRKI;FI
846;PUNA-AHVEN, PUNASIMPPU, PAKASTE;FI
848;KIRJOLOHIFILEE, MERI;FI
851;KANANMUNAN KELTUAINEN, 34 % KANANMUNAN MASSASTA;FI
852;KANANMUNAN VALKUAINEN, 66 % KANANMUNAN MASSASTA;FI
855;VIIRIÄISEN MUNA;FI
856;KALA, SAVUSTETTU, KESKIARVO, VÄHÄRASVAINEN;FI
857;KALA, SAVUSTETTU, KESKIARVO, RASVAINEN;FI
858;KANANMUNA, KUORETON;FI
859;SILLI, VALKOSIPULI-/SINAPPIKASTIKKEESSA;FI
860;SILAKKA, TILLI-/SINAPPIKASTIKKEESSA;FI
862;TONNIKALA;FI
863;OSTERI;FI
864;ETANA;FI
865;MUSTEKALA;FI
866;HUMMERI;FI
870;KIRJOLOHIFILEE, TUORESUOLATTU;FI
871;LOHIFILEE;FI
900;KAHVI, KAHVIJUOMA, KESKIARVO;FI
901;TEE;FI
902;OLUT, KESKIOLUT, 4,5 TIL% ALKOHOLIA;FI
903;OLUT, A-OLUT, 5-5,5 TIL% ALKOHOLIA;FI
904;VIINI, KESKIARVO, 8-15 TIL% ALKOHOLIA;FI
905;VÄKEVÄ VIINI, MAKEA, KATKERO, SHERRY, VERMUTTI, MADEIRA, HEDELMÄVIINI;FI
906;VIINA, KIRKAS, VODKA, GINI;FI
907;KONJAKKI/ROMMI/VISKI, 40 TIL% ALKOHOLIA;FI
908;LIKÖÖRI, 20-30 TIL% ALKOHOLIA;FI
909;GIN LONG DRINK, 5,5 TIL%;FI
910;VIRVOITUSJUOMA;FI
911;SIIDERI, MAKEA, <3 TIL% ALKOHOLIA;FI
912;SIMA;FI
913;OLUT, I-OLUT, <2,8 TIL% ALKOHOLIA;FI
914;KALJA, KOTIOLUT;FI
915;KIVENNÄISVESI, MINERAALIVESI;FI
917;TEE, SITRUUNATEEJUOMAJAUHE, VALMISTAMATON, SOKERILLA MAKEUTETTU PIKATEE;FI
920;VIRVOITUSJUOMA, SOKERITON, LIGHT;FI
921;KIVENNÄISVESI, VÄHÄNATRIUMINEN;FI
922;VESI, VESIJOHTOVESI;FI
923;TEE, YRTTITEE;FI
924;PUNAVIINI;FI
925;VALKOVIINI, KUIVA;FI
926;VALKOVIINI, MAKEA;FI
928;VIRVOITUSJUOMA, KOLAJUOMA, KESKIARVO;FI
929;VIINIETIKKA;FI
930;KAHVI, SUODATINKAHVIJUOMA;FI
931;KAHVI, PANNUKAHVIJUOMA;FI
932;KAHVI, CAPPUCCINO, MAKEUTTAMATON, TÄYSMAITO;FI
933;VÄKIVIINAETIKKA;FI
934;HUNAJA-OMENA-VIINIETIKKA;FI
936;MIETO VIINI, 4-5 TIL% ALKOHOLIA;FI
937;TEE, VIHREÄ TEE;FI
938;VIRVOITUSJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FI
939;SIIDERI, MAKEA, 4,7 TIL% ALKOHOLIA;FI
